city,state,period,good,satisfactory,moderate,poor,very_poor,severe,days_with_data
Khanna,Punjab,FY2025-26,47,159,134,12,1,0,353
Khurja,Uttar Pradesh,FY2024-25,3,92,185,33,6,0,319
Khurja,Uttar Pradesh,FY2025-26,29,94,150,46,15,0,334
Kishanganj,Bihar,FY2024-25,25,70,134,44,2,0,275
Kishanganj,Bihar,FY2025-26,59,114,86,14,0,0,273
Kohima,Nagaland,FY2024-25,82,158,77,3,0,0,320
Kohima,Nagaland,FY2025-26,17,308,13,0,0,0,338
Kolhapur,Maharashtra,FY2024-25,84,167,104,7,0,0,362
Kolhapur,Maharashtra,FY2025-26,153,144,52,3,0,0,352
Kolkata,West Bengal,FY2024-25,93,143,109,19,0,0,364
Kolkata,West Bengal,FY2025-26,103,127,101,34,0,0,365
Kollam,Kerala,FY2024-25,53,179,22,5,0,0,259
Kollam,Kerala,FY2025-26,50,129,27,18,1,0,225
Koppal,Karnataka,FY2024-25,167,84,27,0,0,0,278
Koppal,Karnataka,FY2025-26,76,93,0,0,0,0,169
Korba,Chhattisgarh,FY2024-25,95,196,57,1,0,0,349
Korba,Chhattisgarh,FY2025-26,90,211,52,2,1,0,356
Kota,Rajasthan,FY2024-25,11,128,193,28,4,0,364
Kota,Rajasthan,FY2025-26,12,133,172,47,1,0,365
Kunjemura,Chhattisgarh,FY2024-25,77,75,138,37,2,0,329
Kunjemura,Chhattisgarh,FY2025-26,108,144,78,9,0,0,339
Kurukshetra,Haryana,FY2024-25,48,71,97,42,1,0,259
Kurukshetra,Haryana,FY2025-26,7,15,94,55,4,0,175
Latur,Maharashtra,FY2024-25,106,136,110,7,0,0,359
Latur,Maharashtra,FY2025-26,134,150,65,0,0,0,349
Lucknow,Uttar Pradesh,FY2024-25,27,103,176,57,1,0,364
Lucknow,Uttar Pradesh,FY2025-26,16,132,192,25,0,0,365
Ludhiana,Punjab,FY2024-25,15,163,149,32,1,0,360
Ludhiana,Punjab,FY2025-26,19,144,187,8,0,0,358
Madikeri,Karnataka,FY2024-25,314,37,3,0,0,0,354
Madikeri,Karnataka,FY2025-26,286,56,6,0,0,0,348
Madurai,Tamil Nadu,FY2024-25,69,87,4,0,0,0,160
Madurai,Tamil Nadu,FY2025-26,169,85,8,0,0,0,262
Mahad,Maharashtra,FY2024-25,92,86,144,11,0,0,333
Mahad,Maharashtra,FY2025-26,89,131,123,1,0,0,344
Malegaon,Maharashtra,FY2024-25,27,128,166,18,0,0,339
Malegaon,Maharashtra,FY2025-26,23,167,141,0,0,0,331
Mandi Gobindgarh,Punjab,FY2024-25,9,80,145,77,5,0,316
Mandi Gobindgarh,Punjab,FY2025-26,13,112,137,53,4,0,319
Mandideep,Madhya Pradesh,FY2024-25,51,76,147,66,5,0,345
Mandideep,Madhya Pradesh,FY2025-26,17,114,110,73,9,0,323
Mangalore,Karnataka,FY2024-25,134,148,37,0,0,0,319
Mangalore,Karnataka,FY2025-26,101,109,11,1,0,0,222
Manguraha,Bihar,FY2024-25,12,92,103,6,0,0,213
Manguraha,Bihar,FY2025-26,53,120,105,0,0,0,278
Meerut,Uttar Pradesh,FY2024-25,46,82,165,64,7,0,364
Meerut,Uttar Pradesh,FY2025-26,25,95,136,67,41,1,365
Mira-Bhayandar,Maharashtra,FY2024-25,86,84,139,15,0,0,324
Mira-Bhayandar,Maharashtra,FY2025-26,136,106,88,1,0,0,331
